Order_ID,Customer_ID,Product_ID,Order_Date,Order_Time,Quantity,Coupon,Coupon_Discount,DP_ID
OR_31000001,CS_11005317,PD_21001301,2025-02-06,13:44:42,3,WELCOME10,15,DV_61000001
OR_31000002,CS_11000423,PD_21003593,2024-03-06,21:32:50,10,RALLY20,10,DV_61000002
OR_31000003,CS_11001042,PD_21004315,2024-06-07,18:54:34,10,No Coupons,0,DV_61000002
OR_31000004,CS_11004079,PD_21007443,2024-05-20,7:08:34,9,FESTIVE20,10,DV_61000003
OR_31000005,CS_11009894,PD_21007621,2025-01-03,15:59:10,4,FESTIVE20,10,DV_61000001
OR_31000006,CS_11004976,PD_21002407,2025-02-23,14:53:34,10,RALLY20,15,DV_61000003
OR_31000007,CS_11009282,PD_21005526,2024-08-13,23:51:01,6,WELCOME10,20,DV_61000002
OR_31000008,CS_11006858,PD_21000111,2024-09-26,4:52:43,9,SUMMER15,10,DV_61000001
OR_31000009,CS_11005938,PD_21001544,2024-12-08,3:33:16,6,No Coupons,0,DV_61000005
OR_31000010,CS_11005448,PD_21006481,2024-08-01,0:13:58,6,WELCOME10,10,DV_61000002
OR_31000011,CS_11009752,PD_21007275,2024-03-27,10:24:43,6,No Coupons,0,DV_61000002
OR_31000012,CS_11004980,PD_21009453,2025-02-17,8:53:09,1,FESTIVE20,20,DV_61000002
OR_31000013,CS_11007513,PD_21003896,2024-07-30,5:12:20,10,SUMMER15,15,DV_61000001
OR_31000014,CS_11007086,PD_21008854,2024-08-06,13:02:12,10,SUMMER15,10,DV_61000004
OR_31000015,CS_11007590,PD_21007625,2024-04-12,13:13:49,10,SUMMER15,15,DV_61000005
OR_31000016,CS_11007877,PD_21004003,2024-06-23,2:45:25,3,No Coupons,0,DV_61000005
OR_31000017,CS_11002235,PD_21007374,2024-12-16,0:52:10,2,WELCOME10,20,DV_61000003
OR_31000018,CS_11000444,PD_21003638,2024-04-04,14:36:13,4,No Coupons,0,DV_61000001
OR_31000019,CS_11008524,PD_21008614,2024-05-30,0:43:45,9,SUMMER15,10,DV_61000002
OR_31000020,CS_11002127,PD_21005925,2024-07-27,21:46:38,10,FESTIVE20,15,DV_61000004
OR_31000021,CS_11009588,PD_21001597,2024-10-28,8:23:19,2,WELCOME10,15,DV_61000001
OR_31000022,CS_11004660,PD_21003136,2024-12-19,8:44:30,7,No Coupons,0,DV_61000001
OR_31000023,CS_11001442,PD_21003055,2025-02-02,7:24:49,7,FESTIVE20,10,DV_61000004
OR_31000024,CS_11007833,PD_21000713,2025-02-10,10:36:06,7,SUMMER15,10,DV_61000002
OR_31000025,CS_11009125,PD_21009352,2024-06-03,5:52:21,5,FESTIVE20,10,DV_61000001
OR_31000026,CS_11007956,PD_21000016,2024-04-21,4:05:14,8,FESTIVE20,10,DV_61000005
OR_31000027,CS_11004988,PD_21006652,2024-11-10,4:30:29,10,WELCOME10,10,DV_61000005
OR_31000028,CS_11008486,PD_21001063,2024-08-16,16:37:12,2,No Coupons,0,DV_61000004
OR_31000029,CS_11007053,PD_21003431,2025-02-02,7:02:01,3,RALLY20,20,DV_61000002
OR_31000030,CS_11002892,PD_21000209,2025-02-03,4:36:51,8,WELCOME10,20,DV_61000004
OR_31000031,CS_11002244,PD_21007956,2025-01-30,22:29:44,6,No Coupons,0,DV_61000001
OR_31000032,CS_11009729,PD_21005935,2024-10-25,3:42:06,10,RALLY20,15,DV_61000005
OR_31000033,CS_11009163,PD_21003963,2024-09-30,4:15:45,3,FESTIVE20,15,DV_61000003
OR_31000034,CS_11001081,PD_21001874,2025-01-04,5:34:17,4,SUMMER15,10,DV_61000004
OR_31000035,CS_11009765,PD_21006413,2024-09-09,11:58:56,9,RALLY20,10,DV_61000003
OR_31000036,CS_11007453,PD_21008790,2024-05-25,22:32:01,7,FESTIVE20,15,DV_61000003
OR_31000037,CS_11009553,PD_21007066,2024-11-26,5:40:35,8,SUMMER15,10,DV_61000005
OR_31000038,CS_11004825,PD_21003679,2024-09-15,23:04:36,2,FESTIVE20,20,DV_61000004
OR_31000039,CS_11006576,PD_21003417,2024-05-30,11:03:21,8,No Coupons,0,DV_61000003
OR_31000040,CS_11003279,PD_21009506,2024-10-31,11:50:26,2,WELCOME10,15,DV_61000001
OR_31000041,CS_11006547,PD_21007159,2024-07-29,5:54:26,1,No Coupons,0,DV_61000002
OR_31000042,CS_11007500,PD_21002675,2024-05-05,0:30:53,7,No Coupons,0,DV_61000002
OR_31000043,CS_11008527,PD_21004171,2024-08-17,18:36:29,2,SUMMER15,15,DV_61000005
OR_31000044,CS_11002206,PD_21001254,2024-09-01,5:38:22,4,SUMMER15,15,DV_61000004
OR_31000045,CS_11005325,PD_21001968,2025-02-16,4:33:40,2,SUMMER15,10,DV_61000004
OR_31000046,CS_11006718,PD_21007443,2024-07-07,5:26:12,1,RALLY20,20,DV_61000002
OR_31000047,CS_11004011,PD_21001259,2024-04-09,18:43:02,7,SUMMER15,10,DV_61000001
OR_31000048,CS_11000092,PD_21005256,2024-07-23,3:37:03,7,RALLY20,10,DV_61000002
OR_31000049,CS_11007466,PD_21005894,2025-01-09,2:10:33,10,FESTIVE20,15,DV_61000002
OR_31000050,CS_11007759,PD_21008630,2024-04-07,4:41:38,8,SUMMER15,15,DV_61000004
