Product_ID,Product_Name,Category,Brand,Price
PD_21000001,Tempore Juice,Personal Care,Haldirams,413.5
PD_21000002,At Shampoo,Home Care,Haldirams,637.32
PD_21000003,Quibusdam Shampoo,Personal Care,Haldirams,685.38
PD_21000004,Deleniti Biscuits,Groceries,Dabur,224.89
PD_21000005,Praesentium Juice,Snacks,Amul,738.16
PD_21000006,Doloremque Milk,Home Care,Dabur,853.8
PD_21000007,Quo Shampoo,Snacks,Dabur,137.08
PD_21000008,Aliquam Shampoo,Dairy,Parle,75
PD_21000009,Asperiores Milk,Dairy,Dabur,63.24
PD_21000010,Repellendus Soap,Groceries,Nestle,399.66
PD_21000011,Earum Biscuits,Home Care,Britannia,144.75
PD_21000012,Laboriosam Juice,Groceries,Nestle,764.02
PD_21000013,Odio Biscuits,Groceries,Amul,913.3
PD_21000014,Deleniti Soap,Personal Care,Haldirams,492.6
PD_21000015,Laudantium Milk,Beverages,Dabur,912.18
PD_21000016,Tenetur Biscuits,Dairy,Dabur,676.81
PD_21000017,Architecto Milk,Dairy,Britannia,671.45
PD_21000018,Necessitatibus Juice,Personal Care,Amul,290.19
PD_21000019,Quo Shampoo,Home Care,Nestle,885.81
PD_21000020,Aut Juice,Snacks,Britannia,854.46
PD_21000021,Soluta Biscuits,Dairy,Britannia,960.26
PD_21000022,Aliquid Biscuits,Personal Care,Nestle,347.8
PD_21000023,Asperiores Milk,Groceries,Britannia,212.83
PD_21000024,Earum Soap,Dairy,Dabur,522.69
PD_21000025,Non Soap,Home Care,Amul,737.19
PD_21000026,Nobis Juice,Groceries,Parle,110.81
PD_21000027,Distinctio Milk,Personal Care,Nestle,863.84
PD_21000028,Ducimus Soap,Groceries,Parle,556.88
PD_21000029,Temporibus Milk,Snacks,Parle,837.11
PD_21000030,Nihil Soap,Home Care,Nestle,213.75
PD_21000031,Molestias Soap,Personal Care,Dabur,548.37
PD_21000032,Hic Milk,Beverages,Parle,845.87
PD_21000033,Quod Soap,Home Care,Dabur,77.87
PD_21000034,Totam Juice,Dairy,Nestle,436.54
PD_21000035,Praesentium Biscuits,Personal Care,Dabur,402.85
PD_21000036,Velit Shampoo,Beverages,Nestle,997
PD_21000037,Dolorem Juice,Home Care,Haldirams,981.98
PD_21000038,Quidem Shampoo,Home Care,Parle,37.96
PD_21000039,Cumque Juice,Groceries,Haldirams,447.89
PD_21000040,Facere Biscuits,Dairy,Nestle,762.27
PD_21000041,Quisquam Milk,Snacks,Nestle,113.03
PD_21000042,Porro Biscuits,Snacks,Haldirams,842.18
PD_21000043,Iste Soap,Groceries,Dabur,125.28
PD_21000044,Pariatur Shampoo,Groceries,Nestle,227.8
PD_21000045,Mollitia Shampoo,Snacks,Parle,728.25
PD_21000046,Neque Juice,Personal Care,Dabur,106.79
PD_21000047,Sint Milk,Home Care,Dabur,577.15
PD_21000048,Nesciunt Soap,Home Care,Haldirams,312.5
PD_21000049,Error Soap,Beverages,Amul,318.6
PD_21000050,Tempore Milk,Home Care,Parle,681.25
PD_21000051,Perferendis Soap,Dairy,Amul,222.18
PD_21000052,Eveniet Soap,Home Care,Britannia,970.89
PD_21000053,Debitis Juice,Personal Care,Haldirams,655.23
PD_21000054,Eligendi Shampoo,Snacks,Dabur,444.94
PD_21000055,Optio Soap,Snacks,Parle,772.33
PD_21000056,Harum Soap,Groceries,Haldirams,173.84
PD_21000057,Ipsam Biscuits,Groceries,Amul,286.67
PD_21000058,Nihil Biscuits,Dairy,Dabur,896.38
PD_21000059,Ipsam Milk,Groceries,Dabur,563.49
PD_21000060,Nemo Juice,Beverages,Britannia,383.29
PD_21000061,Unde Milk,Snacks,Britannia,384.83
PD_21000062,Quod Biscuits,Personal Care,Britannia,905.16
PD_21000063,Vel Shampoo,Personal Care,Britannia,768.41
PD_21000064,Quibusdam Juice,Dairy,Nestle,834.53
PD_21000065,Amet Biscuits,Dairy,Amul,333.75
PD_21000066,Rem Milk,Dairy,Dabur,702.97
PD_21000067,A Biscuits,Dairy,Dabur,888.12
PD_21000068,Quo Juice,Groceries,Dabur,286.98
PD_21000069,Recusandae Juice,Groceries,Nestle,638.23
PD_21000070,Vero Shampoo,Beverages,Parle,739.46
PD_21000071,Velit Biscuits,Personal Care,Britannia,771.83
PD_21000072,Veritatis Shampoo,Home Care,Dabur,152.1
PD_21000073,Dolore Juice,Snacks,Nestle,957.19
PD_21000074,Minus Biscuits,Groceries,Parle,226.7
