Transaction_ID,Order_ID,Transaction_Mode,Rewards
TR_41000001,OR_31002037,COD,No
TR_41000002,OR_31008376,Debit Card,Yes
TR_41000003,OR_31002152,COD,No
TR_41000004,OR_31009239,COD,Yes
TR_41000005,OR_31002891,Debit Card,No
TR_41000006,OR_31000512,COD,No
TR_41000007,OR_31009237,COD,Yes
TR_41000008,OR_31005717,Wallet,Yes
TR_41000009,OR_31005308,Wallet,Yes
TR_41000010,OR_31008657,Credit Card,No
TR_41000011,OR_31005972,UPI,No
TR_41000012,OR_31000290,Wallet,No
TR_41000013,OR_31004075,UPI,Yes
TR_41000014,OR_31004131,Debit Card,Yes
TR_41000015,OR_31006688,Debit Card,Yes
TR_41000016,OR_31001960,Debit Card,Yes
TR_41000017,OR_31001849,Wallet,No
TR_41000018,OR_31006738,COD,No
TR_41000019,OR_31002757,Wallet,Yes
TR_41000020,OR_31006495,Credit Card,Yes
TR_41000021,OR_31002724,Debit Card,Yes
TR_41000022,OR_31004864,Credit Card,No
TR_41000023,OR_31007254,COD,Yes
TR_41000024,OR_31006322,Debit Card,No
TR_41000025,OR_31005636,Debit Card,No
TR_41000026,OR_31008832,Wallet,No
TR_41000027,OR_31000705,Wallet,No
TR_41000028,OR_31003182,Wallet,No
TR_41000029,OR_31007358,COD,Yes
TR_41000030,OR_31006928,Debit Card,Yes
TR_41000031,OR_31000296,Wallet,No
TR_41000032,OR_31009771,UPI,No
TR_41000033,OR_31000299,Debit Card,No
TR_41000034,OR_31009270,UPI,Yes
TR_41000035,OR_31009348,COD,No
TR_41000036,OR_31001439,Debit Card,Yes
TR_41000037,OR_31003035,Debit Card,Yes
TR_41000038,OR_31000111,COD,Yes
TR_41000039,OR_31002732,Wallet,Yes
TR_41000040,OR_31002743,Wallet,Yes
TR_41000041,OR_31001409,Debit Card,No
TR_41000042,OR_31002385,Wallet,Yes
TR_41000043,OR_31000944,Debit Card,Yes
TR_41000044,OR_31009538,COD,No
TR_41000045,OR_31007554,Wallet,Yes
TR_41000046,OR_31004582,UPI,No
TR_41000047,OR_31005691,COD,No
TR_41000048,OR_31006811,UPI,No
TR_41000049,OR_31006583,COD,Yes
TR_41000050,OR_31004764,UPI,No
TR_41000051,OR_31007389,COD,Yes
TR_41000052,OR_31008529,Debit Card,Yes
TR_41000053,OR_31004225,Debit Card,Yes
TR_41000054,OR_31000935,UPI,Yes
TR_41000055,OR_31009246,UPI,No
TR_41000056,OR_31000845,Credit Card,No
TR_41000057,OR_31003379,Wallet,Yes
TR_41000058,OR_31005163,COD,Yes
TR_41000059,OR_31009597,Wallet,Yes
TR_41000060,OR_31003353,Wallet,Yes
TR_41000061,OR_31009211,Debit Card,Yes
TR_41000062,OR_31007553,Credit Card,Yes
TR_41000063,OR_31009558,COD,Yes
TR_41000064,OR_31006295,Debit Card,No
TR_41000065,OR_31006815,COD,Yes
TR_41000066,OR_31005456,Debit Card,No
TR_41000067,OR_31007471,Credit Card,Yes
TR_41000068,OR_31004220,COD,Yes
TR_41000069,OR_31003115,Credit Card,Yes
TR_41000070,OR_31003718,Wallet,No
TR_41000071,OR_31009136,Debit Card,Yes
TR_41000072,OR_31005557,Debit Card,Yes
TR_41000073,OR_31000238,Credit Card,No
TR_41000074,OR_31000315,Debit Card,Yes
TR_41000075,OR_31008182,Credit Card,No
TR_41000076,OR_31008895,UPI,No
TR_41000077,OR_31006471,COD,Yes
TR_41000078,OR_31003380,Wallet,No
TR_41000079,OR_31005983,Wallet,Yes
TR_41000080,OR_31008838,UPI,Yes
TR_41000081,OR_31003969,COD,No
TR_41000082,OR_31005774,Debit Card,Yes
TR_41000083,OR_31002815,COD,No
TR_41000084,OR_31007652,Debit Card,No
TR_41000085,OR_31004706,Wallet,Yes
TR_41000086,OR_31008657,UPI,Yes
TR_41000087,OR_31004051,Debit Card,No
TR_41000088,OR_31002784,UPI,No
TR_41000089,OR_31000499,Debit Card,Yes
TR_41000090,OR_31001526,Credit Card,No
TR_41000091,OR_31005595,Wallet,Yes
TR_41000092,OR_31000389,UPI,No
TR_41000093,OR_31009530,Credit Card,Yes
TR_41000094,OR_31006142,COD,No
TR_41000095,OR_31008078,Debit Card,Yes
TR_41000096,OR_31007262,COD,No
TR_41000097,OR_31009853,Wallet,No
TR_41000098,OR_31006906,Credit Card,No
TR_41000099,OR_31003359,UPI,Yes
TR_41000100,OR_31002361,Credit Card,Yes
TR_41000101,OR_31004182,Credit Card,No
TR_41000102,OR_31000754,Credit Card,Yes
TR_41000103,OR_31006517,Debit Card,Yes
TR_41000104,OR_31005388,Wallet,No
TR_41000105,OR_31007988,UPI,No
TR_41000106,OR_31009180,Credit Card,Yes
TR_41000107,OR_31008092,Credit Card,No
TR_41000108,OR_31006132,Credit Card,Yes
TR_41000109,OR_31003245,COD,Yes
TR_41000110,OR_31003244,Credit Card,Yes
TR_41000111,OR_31008976,Wallet,No
TR_41000112,OR_31000194,Debit Card,No
TR_41000113,OR_31001929,Debit Card,No
TR_41000114,OR_31002420,Debit Card,Yes
TR_41000115,OR_31007685,UPI,Yes
TR_41000116,OR_31009989,Debit Card,Yes
TR_41000117,OR_31000016,Wallet,No
TR_41000118,OR_31004531,Debit Card,No
TR_41000119,OR_31008037,UPI,No
TR_41000120,OR_31000028,Credit Card,No
TR_41000121,OR_31001071,Credit Card,No
TR_41000122,OR_31009184,COD,Yes
TR_41000123,OR_31005896,UPI,No
TR_41000124,OR_31006943,Debit Card,No
TR_41000125,OR_31001753,COD,No
TR_41000126,OR_31000856,Debit Card,No
TR_41000127,OR_31002964,Credit Card,Yes
TR_41000128,OR_31002177,Credit Card,No
TR_41000129,OR_31002749,Wallet,No
TR_41000130,OR_31007465,COD,No
TR_41000131,OR_31003684,COD,Yes
TR_41000132,OR_31009113,Credit Card,Yes
TR_41000133,OR_31006895,Wallet,No
TR_41000134,OR_31000493,Wallet,No
TR_41000135,OR_31005380,Debit Card,Yes
TR_41000136,OR_31001283,Credit Card,Yes
TR_41000137,OR_31002467,Credit Card,No
TR_41000138,OR_31008847,COD,Yes
TR_41000139,OR_31009406,COD,Yes
TR_41000140,OR_31004611,COD,Yes
TR_41000141,OR_31009101,COD,Yes
TR_41000142,OR_31001956,COD,No
TR_41000143,OR_31002818,UPI,No
TR_41000144,OR_31001410,COD,Yes
TR_41000145,OR_31004181,UPI,No
TR_41000146,OR_31005849,Debit Card,Yes
TR_41000147,OR_31007936,COD,No
TR_41000148,OR_31001879,Credit Card,Yes
TR_41000149,OR_31001047,Debit Card,Yes
TR_41000150,OR_31007116,COD,No
TR_41000151,OR_31007849,Wallet,Yes
TR_41000152,OR_31004583,Wallet,Yes
TR_41000153,OR_31000527,COD,No
TR_41000154,OR_31007373,UPI,Yes
TR_41000155,OR_31007920,Debit Card,No
TR_41000156,OR_31003291,Wallet,Yes
TR_41000157,OR_31001177,Wallet,No
TR_41000158,OR_31000502,UPI,No
TR_41000159,OR_31005604,UPI,Yes
TR_41000160,OR_31009128,UPI,No
TR_41000161,OR_31005656,Wallet,No
TR_41000162,OR_31002630,COD,No
TR_41000163,OR_31007845,COD,No
TR_41000164,OR_31003051,COD,Yes
TR_41000165,OR_31001003,COD,Yes
TR_41000166,OR_31001613,UPI,No
TR_41000167,OR_31002335,Debit Card,Yes
TR_41000168,OR_31005614,Wallet,Yes
TR_41000169,OR_31001340,UPI,No
TR_41000170,OR_31005721,Debit Card,Yes
TR_41000171,OR_31005759,Wallet,Yes
TR_41000172,OR_31003632,COD,No
TR_41000173,OR_31003383,COD,No
TR_41000174,OR_31009244,Wallet,Yes
TR_41000175,OR_31009589,Debit Card,Yes
TR_41000176,OR_31006063,UPI,Yes
TR_41000177,OR_31003318,Credit Card,No
TR_41000178,OR_31004580,COD,No
TR_41000179,OR_31004094,Debit Card,Yes
TR_41000180,OR_31008177,Debit Card,Yes
TR_41000181,OR_31004797,Credit Card,Yes
TR_41000182,OR_31007301,Wallet,No
TR_41000183,OR_31003996,Debit Card,Yes
TR_41000184,OR_31001168,COD,Yes
TR_41000185,OR_31009332,COD,No
TR_41000186,OR_31004092,COD,No
TR_41000187,OR_31008023,Wallet,Yes
TR_41000188,OR_31000598,Wallet,No
TR_41000189,OR_31001556,Wallet,Yes
TR_41000190,OR_31008962,COD,Yes
TR_41000191,OR_31001957,UPI,Yes
TR_41000192,OR_31009491,Credit Card,No
TR_41000193,OR_31006878,COD,Yes
TR_41000194,OR_31005269,Debit Card,No
TR_41000195,OR_31009408,COD,Yes
TR_41000196,OR_31005912,COD,No
TR_41000197,OR_31003288,COD,No
TR_41000198,OR_31009558,Debit Card,Yes
TR_41000199,OR_31000134,COD,No
TR_41000200,OR_31004009,Credit Card,No
TR_41000201,OR_31001875,COD,No
TR_41000202,OR_31004296,Wallet,Yes
TR_41000203,OR_31004059,Credit Card,No
TR_41000204,OR_31009950,Wallet,No
TR_41000205,OR_31000207,Credit Card,No
TR_41000206,OR_31001545,Wallet,Yes
TR_41000207,OR_31007570,Debit Card,Yes
TR_41000208,OR_31009399,Credit Card,No
TR_41000209,OR_31005015,Wallet,No
TR_41000210,OR_31006814,UPI,Yes
TR_41000211,OR_31001180,Credit Card,Yes
TR_41000212,OR_31008841,Debit Card,No
TR_41000213,OR_31003600,COD,No
TR_41000214,OR_31005788,UPI,Yes
TR_41000215,OR_31004524,Credit Card,No
TR_41000216,OR_31009495,COD,No
TR_41000217,OR_31003090,COD,No
